# packages in environment at /data/djs217/miniconda3/envs/qualimap_env:
#
# Name                    Version                   Build  Channel
icu                       75.1                 he02047a_0    conda-forge
igvtools                  2.17.3               hdfd78af_0    bioconda
jq                        1.5                           0    bioconda
kernel-headers_linux-64   5.14.0               he073ed8_2    conda-forge
keyutils                  1.6.3                hb9d3cd8_0    conda-forge
krb5                      1.21.3               h659f571_0    conda-forge
lcms2                     2.17                 h717163a_0    conda-forge
ld_impl_linux-64          2.44                 h1423503_1    conda-forge
lerc                      4.0.0                h0aef613_1    conda-forge
libblas                   3.9.0           34_h59b9bed_openblas    conda-forge
libcblas                  3.9.0           34_he106b2a_openblas    conda-forge
libcups                   2.3.3                hb8b1518_5    conda-forge
libcurl                   8.14.1               h332b0f4_0    conda-forge
libdeflate                1.22                 hb9d3cd8_0    conda-forge
libedit                   3.1.20250104    pl5321h7949ede_0    conda-forge
libev                     4.33                 hd590300_2    conda-forge
libexpat                  2.7.1                hecca717_0    conda-forge
libffi                    3.4.6                h2dba641_1    conda-forge
libfreetype               2.13.3               ha770c72_1    conda-forge
libfreetype6              2.13.3               h48d6fc4_1    conda-forge
libgcc                    15.1.0               h767d61c_4    conda-forge
libgcc-devel_linux-64     15.1.0             h4c094af_104    conda-forge
libgcc-ng                 15.1.0               h69a702a_4    conda-forge
libgfortran               15.1.0               h69a702a_4    conda-forge
libgfortran-ng            15.1.0               h69a702a_4    conda-forge
libgfortran5              15.1.0               hcea5267_4    conda-forge
libglib                   2.84.1               h2ff4ddf_0    conda-forge
libgomp                   15.1.0               h767d61c_4    conda-forge
libiconv                  1.18                 h3b78370_2    conda-forge
libjpeg-turbo             3.1.0                hb9d3cd8_0    conda-forge
liblapack                 3.9.0           34_h7ac8fdf_openblas    conda-forge
liblzma                   5.8.1                hb9d3cd8_2    conda-forge
libmpdec                  4.0.0                hb9d3cd8_0    conda-forge
libnghttp2                1.64.0               h161d5f1_0    conda-forge
libopenblas               0.3.30          pthreads_h94d23a6_2    conda-forge
libpng                    1.6.50               h421ea60_1    conda-forge
libsanitizer              15.1.0               h97b714f_4    conda-forge
libsqlite                 3.50.4               h0c1763c_0    conda-forge
libssh2                   1.11.1               hcf80075_0    conda-forge
libstdcxx                 15.1.0               h8f9b012_4    conda-forge
libstdcxx-devel_linux-64  15.1.0             h4c094af_104    conda-forge
libstdcxx-ng              15.1.0               h4852527_4    conda-forge
libtiff                   4.7.0                hc4654cb_2    conda-forge
libuuid                   2.38.1               h0b41bf4_0    conda-forge
libwebp-base              1.6.0                hd42ef1d_0    conda-forge
libxcb                    1.17.0               h8a09558_0    conda-forge
libxml2                   2.13.8               h04c0eec_1    conda-forge
libzlib                   1.3.1                hb9d3cd8_2    conda-forge
make                      4.4.1                hb9d3cd8_2    conda-forge
mosdepth                  0.3.11               h0ec343a_1    bioconda
ncurses                   6.5                  h2d0b736_3    conda-forge
openjdk                   23.0.2               h53dfc1b_2    conda-forge
openssl                   3.5.2                h26f9b46_0    conda-forge
pango                     1.56.3               h9ac818e_1    conda-forge
pcre2                     10.44                hc749103_2    conda-forge
pip                       25.2               pyh145f28c_0    conda-forge
pixman                    0.46.4               h54a6638_1    conda-forge
pthread-stubs             0.4               hb9d3cd8_1002    conda-forge
python                    3.13.5          hec9711d_102_cp313    conda-forge
python_abi                3.13                    8_cp313    conda-forge
pyyaml                    6.0.2           py313h8060acc_2    conda-forge
qualimap                  2.3                  hdfd78af_0    bioconda
r-abind                   1.4_5           r44hc72bb7e_1006    conda-forge
r-askpass                 1.2.1             r44h2b5f3a1_0    conda-forge
r-base                    4.4.2                hbab086e_1    conda-forge
r-bh                      1.87.0_1          r44hc72bb7e_0    conda-forge
r-bitops                  1.0_9             r44h2b5f3a1_0    conda-forge
r-codetools               0.2_20            r44hc72bb7e_1    conda-forge
r-cpp11                   0.5.2             r44h785f33e_1    conda-forge
r-crayon                  1.5.3             r44hc72bb7e_1    conda-forge
r-curl                    7.0.0             r44h10955f1_0    conda-forge
r-formatr                 1.14              r44hc72bb7e_2    conda-forge
r-futile.logger           1.4.3           r44hc72bb7e_1006    conda-forge
r-futile.options          1.0.1           r44hc72bb7e_1005    conda-forge
r-getopt                  1.20.4            r44ha770c72_1    conda-forge
r-httr                    1.4.7             r44hc72bb7e_1    conda-forge
r-jsonlite                2.0.0             r44h2b5f3a1_0    conda-forge
r-lambda.r                1.2.4             r44hc72bb7e_4    conda-forge
r-lattice                 0.22_7            r44h2b5f3a1_0    conda-forge
r-matrix                  1.7_3             r44h2ae2be5_0    conda-forge
r-matrixstats             1.5.0             r44h2b5f3a1_0    conda-forge
r-mime                    0.13              r44h2b5f3a1_0    conda-forge
r-openssl                 2.3.3             r44he8289e2_0    conda-forge
r-optparse                1.7.5             r44hc72bb7e_1    conda-forge
r-r6                      2.6.1             r44hc72bb7e_0    conda-forge
r-rcurl                   1.98_1.17         r44hb79926e_0    conda-forge
r-restfulr                0.0.16            r44h5ef9028_0    bioconda
r-rjson                   0.2.23            r44h93ab643_0    conda-forge
r-snow                    0.4_4             r44hc72bb7e_3    conda-forge
r-sys                     3.4.3             r44h2b5f3a1_0    conda-forge
r-xml                     3.99_0.17         r44h5bae778_2    conda-forge
r-yaml                    2.3.10            r44hdb488b9_0    conda-forge
readline                  8.2                  h8c095d6_2    conda-forge
sed                       4.9                  h6688a6e_0    conda-forge
setuptools                80.9.0             pyhff2d567_0    conda-forge
sysroot_linux-64          2.34                 h087de78_2    conda-forge
tk                        8.6.13          noxft_hd72426e_102    conda-forge
tktable                   2.10                 h8d826fa_7    conda-forge
toml                      0.10.2             pyhd8ed1ab_1    conda-forge
tomlkit                   0.13.3             pyha770c72_0    conda-forge
tzdata                    2025b                h78e105d_0    conda-forge
xmltodict                 0.14.2             pyhd8ed1ab_1    conda-forge
xorg-libice               1.1.2                hb9d3cd8_0    conda-forge
xorg-libsm                1.2.6                he73a12e_0    conda-forge
xorg-libx11               1.8.12               h4f16b4b_0    conda-forge
xorg-libxau               1.0.12               hb9d3cd8_0    conda-forge
xorg-libxdmcp             1.1.5                hb9d3cd8_0    conda-forge
xorg-libxext              1.3.6                hb9d3cd8_0    conda-forge
xorg-libxfixes            6.0.1                hb9d3cd8_0    conda-forge
xorg-libxi                1.8.2                hb9d3cd8_0    conda-forge
xorg-libxrandr            1.5.4                hb9d3cd8_0    conda-forge
xorg-libxrender           0.9.12               hb9d3cd8_0    conda-forge
xorg-libxt                1.3.1                hb9d3cd8_0    conda-forge
xorg-libxtst              1.2.5                hb9d3cd8_3    conda-forge
yaml                      0.2.5                h280c20c_3    conda-forge
yq                        3.4.3              pyhe01879c_2    conda-forge
zstd                      1.5.7                hb8e6e7a_2    conda-forge
